time,error
52.8998,0.011306
52.9313,0.010407
52.9648,0.006728
52.9981,0.008075
53.0314,0.005135
53.0647,0.010499
53.0982,0.016868
53.1318,0.007328
53.1651,0.008493
53.1985,0.002105
53.2319,0.003024
53.2651,0.013148
53.2986,0.014056
53.3314,0.003696
53.3648,0.010412
53.3987,0.006274
53.4334,0.008767
53.4653,0.016845
53.4984,0.011206
53.5318,0.005482
53.5652,0.009569
53.5987,0.008914
53.6320,0.010143
53.6656,0.005409
53.6986,0.009189
53.7324,0.012285
53.7657,0.012579
53.7992,0.003105
53.8321,0.008827
53.8659,0.009613
53.8985,0.007555
53.9325,0.003906
53.9658,0.008403
53.9990,0.003625
54.0324,0.008112
54.0660,0.007948
54.0993,0.005550
54.1340,0.009243
54.1659,0.006028
54.1995,0.003745
54.2328,0.011999
54.2663,0.007937
54.2996,0.414631
54.3330,0.422963
54.3660,0.418091
54.3997,0.411448
54.4331,0.400236
54.4663,0.383064
54.4998,0.368597
54.5327,0.357276
54.5675,0.323795
54.5997,0.313597
54.6332,0.291280
54.6665,0.270230
54.6991,0.239376
54.7332,0.207078
54.7668,0.188683
54.8001,0.157989
54.8337,0.139234
54.8669,0.132558
54.9002,0.126596
54.9332,0.108307
54.9684,0.100813
55.0002,0.088123
55.0335,0.079464
55.0669,0.068785
55.1005,0.065789
55.1350,0.069026
55.1670,0.066572
55.2004,0.059677
55.2339,0.067020
55.2673,0.066904
55.2999,0.064186
55.3350,0.059138
55.3672,0.066624
55.4004,0.059078
55.4339,0.050924
55.4673,0.080873
55.5009,0.061647
55.5341,0.079475
55.5672,0.062784
55.6006,0.068606
55.6339,0.052554
55.6681,0.080613
55.7001,0.067492
55.7357,0.072778
55.7694,0.077150
55.8023,0.063630
55.8341,0.060764
55.8681,0.067167
55.9010,0.059622
55.9360,0.051275
55.9691,0.058470
56.0014,0.055604
56.0348,0.056832
56.0681,0.051598
56.1018,0.044294
56.1350,0.037886
56.1682,0.036540
56.2016,0.034023
56.2353,0.028270
56.2691,0.029831
56.3025,0.023647
56.3360,0.022355
56.3698,0.020069
56.4031,0.015520
56.4364,0.019992
56.4699,0.015439
56.5030,0.017919
56.5363,0.021507
56.5695,0.014104
56.6031,0.007638
